,animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
62,pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
89,toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
25,frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
80,slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
91,tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
52,newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
90,tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
56,ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
71,rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2
41,kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2
63,platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1
26,frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5
58,penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2
95,vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
49,mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
54,opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
72,scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7
84,squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
2,bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
8,catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
12,chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
38,herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
61,piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
16,crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
37,hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
24,flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
33,gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
43,lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
59,pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
78,skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
79,skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
81,slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
83,sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
88,termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
99,worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
100,wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
